SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.649346351150091;3.0
117122;GreyMatter;0.4606252630131014;4.123105625617661
117122;Hippocampus;0.6398770830871056;3.0
117122;Thalamus;0.8348797202402775;2.8284271247461903
117122;WhiteMatter;0.7020063362481214;6.708203932499369
117122-PP;Amygdala;0.649346351150091;3.0
117122-PP;GreyMatter;0.4606252630131014;4.123105625617661
117122-PP;Hippocampus;0.6398770830871056;3.0
117122-PP;Thalamus;0.8348797202402775;2.8284271247461903
117122-PP;WhiteMatter;0.7020063362481214;6.708203932499369
118528;Amygdala;0.6753204608145383;2.8284271247461903
118528;GreyMatter;0.4667240845506488;4.123105625617661
118528;Hippocampus;0.7126016935082184;3.3166247903554
118528;Thalamus;0.8828749622221612;2.0
118528;WhiteMatter;0.7088067425257628;6.4031242374328485
118528-PP;Amygdala;0.6753204608145383;2.8284271247461903
118528-PP;GreyMatter;0.4667240845506488;4.123105625617661
118528-PP;Hippocampus;0.7126016935082184;3.3166247903554
118528-PP;Thalamus;0.8828749622221612;2.0
118528-PP;WhiteMatter;0.7088067425257628;6.4031242374328485
118730;Amygdala;0.771596132509114;2.0
118730;GreyMatter;0.45028465997804146;4.242640687119285
118730;Hippocampus;0.6019061149588587;3.4641016151377544
118730;Thalamus;0.88061442184611;2.0
118730;WhiteMatter;0.6836491652563387;6.708203932499369
118730-PP;Amygdala;0.771596132509114;2.0
118730-PP;GreyMatter;0.45028465997804146;4.242640687119285
118730-PP;Hippocampus;0.6019061149588587;3.4641016151377544
118730-PP;Thalamus;0.88061442184611;2.0
118730-PP;WhiteMatter;0.6836491652563387;6.708203932499369
118932;Amygdala;0.7798679867986799;1.7320508075688772
118932;GreyMatter;0.46979696516818326;4.123105625617661
118932;Hippocampus;0.745909810590512;2.23606797749979
118932;Thalamus;0.8660924040720438;2.23606797749979
118932;WhiteMatter;0.7004597417732776;7.0
118932-PP;Amygdala;0.7798679867986799;1.7320508075688772
118932-PP;GreyMatter;0.46979696516818326;4.123105625617661
118932-PP;Hippocampus;0.745909810590512;2.23606797749979
118932-PP;Thalamus;0.8660924040720438;2.23606797749979
118932-PP;WhiteMatter;0.7004597417732776;7.0
120111;Amygdala;0.6131881071533706;3.1622776601683795
120111;GreyMatter;0.4417897925781558;4.123105625617661
120111;Hippocampus;0.7031305375073833;3.0
120111;Thalamus;0.8230277185501066;3.0
120111;WhiteMatter;0.6936620003073165;7.14142842854285
120111-PP;Amygdala;0.6131881071533706;3.1622776601683795
120111-PP;GreyMatter;0.4417897925781558;4.123105625617661
120111-PP;Hippocampus;0.7031305375073833;3.0
120111-PP;Thalamus;0.8230277185501066;3.0
120111-PP;WhiteMatter;0.6936620003073165;7.14142842854285
122317;Amygdala;0.7670973841790104;2.0
122317;GreyMatter;0.48061020457949827;4.123105625617661
122317;Hippocampus;0.7127686156921539;2.8284271247461903
122317;Thalamus;0.8358944621629458;2.449489742783178
122317;WhiteMatter;0.7086220727482498;6.708203932499369
122317-PP;Amygdala;0.7670973841790104;2.0
122317-PP;GreyMatter;0.48061020457949827;4.123105625617661
122317-PP;Hippocampus;0.7127686156921539;2.8284271247461903
122317-PP;Thalamus;0.8358944621629458;2.449489742783178
122317-PP;WhiteMatter;0.7086220727482498;6.708203932499369
122620;Amygdala;0.6086429112964367;3.0
122620;GreyMatter;0.41919134913099576;5.0
122620;Hippocampus;0.7014112679186576;3.0
122620;Thalamus;0.8738828202581926;2.23606797749979
122620;WhiteMatter;0.68372833211459;7.0
122620-PP;Amygdala;0.6086429112964367;3.0
122620-PP;GreyMatter;0.41919134913099576;5.0
122620-PP;Hippocampus;0.7014112679186576;3.0
122620-PP;Thalamus;0.8738828202581926;2.23606797749979
122620-PP;WhiteMatter;0.68372833211459;7.0
123117;Amygdala;0.7629331184528606;2.0
123117;GreyMatter;0.4842954755054495;3.605551275463989
123117;Hippocampus;0.7553290083410565;2.449489742783178
123117;Thalamus;0.8620238724576389;2.23606797749979
123117;WhiteMatter;0.7203496967126368;6.48074069840786
123117-PP;Amygdala;0.7629331184528606;2.0
123117-PP;GreyMatter;0.4842954755054495;3.605551275463989
123117-PP;Hippocampus;0.7553290083410565;2.449489742783178
123117-PP;Thalamus;0.8620238724576389;2.23606797749979
123117-PP;WhiteMatter;0.7203496967126368;6.48074069840786
123925;Amygdala;0.7702386523163313;2.23606797749979
123925;GreyMatter;0.4878657234942028;3.605551275463989
123925;Hippocampus;0.7062961254612546;2.8284271247461903
123925;Thalamus;0.8898939320519033;2.0
123925;WhiteMatter;0.7382378154598866;6.0
123925-PP;Amygdala;0.7702386523163313;2.23606797749979
123925-PP;GreyMatter;0.4878657234942028;3.605551275463989
123925-PP;Hippocampus;0.7062961254612546;2.8284271247461903
123925-PP;Thalamus;0.8898939320519033;2.0
123925-PP;WhiteMatter;0.7382378154598866;6.0
124422;Amygdala;0.7370139507272188;3.0
124422;GreyMatter;0.46354526989741696;4.123105625617661
124422;Hippocampus;0.7304458746448658;3.0
124422;Thalamus;0.8357261181667587;2.23606797749979
124422;WhiteMatter;0.6864484798527004;6.4031242374328485
124422-PP;Amygdala;0.7370139507272188;3.0
124422-PP;GreyMatter;0.46354526989741696;4.123105625617661
124422-PP;Hippocampus;0.7304458746448658;3.0
124422-PP;Thalamus;0.8357261181667587;2.23606797749979
124422-PP;WhiteMatter;0.6864484798527004;6.4031242374328485
