SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.4943820224719101;13.416407864998739
117122;GreyMatter;0.7220394184089042;2.0
117122;Hippocampus;0.5870594423987375;15.394804318340652
117122;Thalamus;0.7701505134336756;19.87460691435179
117122;WhiteMatter;0.8148226501500434;3.0
117122-PP;Amygdala;0.4943820224719101;13.416407864998739
117122-PP;GreyMatter;0.7220394184089042;2.0
117122-PP;Hippocampus;0.5870594423987375;15.394804318340652
117122-PP;Thalamus;0.7701505134336756;19.87460691435179
117122-PP;WhiteMatter;0.8148226501500434;3.0
118528;Amygdala;0.464909945878804;13.74772708486752
118528;GreyMatter;0.721333937579653;3.0
118528;Hippocampus;0.557358701734751;15.264337522473747
118528;Thalamus;0.7296648703267093;16.61324772583615
118528;WhiteMatter;0.8269712688277445;3.0
118528-PP;Amygdala;0.464909945878804;13.74772708486752
118528-PP;GreyMatter;0.721333937579653;3.0
118528-PP;Hippocampus;0.557358701734751;15.264337522473747
118528-PP;Thalamus;0.7296648703267093;16.61324772583615
118528-PP;WhiteMatter;0.8269712688277445;3.0
118730;Amygdala;0.5748426525586062;11.224972160321824
118730;GreyMatter;0.7290904995879918;2.0
118730;Hippocampus;0.5215416600031985;12.083045973594572
118730;Thalamus;0.7261725330259775;16.911534525287763
118730;WhiteMatter;0.8120520384968806;2.8284271247461903
118730-PP;Amygdala;0.5748426525586062;11.224972160321824
118730-PP;GreyMatter;0.7290904995879918;2.0
118730-PP;Hippocampus;0.5215416600031985;12.083045973594572
118730-PP;Thalamus;0.7261725330259775;16.911534525287763
118730-PP;WhiteMatter;0.8120520384968806;2.8284271247461903
118932;Amygdala;0.5521841240018788;12.649110640673518
118932;GreyMatter;0.7339191121409302;2.0
118932;Hippocampus;0.5459142847997952;14.0
118932;Thalamus;0.7457534591723183;18.2208671582886
118932;WhiteMatter;0.8312954303148636;2.8284271247461903
118932-PP;Amygdala;0.5521841240018788;12.649110640673518
118932-PP;GreyMatter;0.7339191121409302;2.0
118932-PP;Hippocampus;0.5459142847997952;14.0
118932-PP;Thalamus;0.7457534591723183;18.2208671582886
118932-PP;WhiteMatter;0.8312954303148636;2.8284271247461903
120111;Amygdala;0.5191452991452992;9.899494936611665
120111;GreyMatter;0.7188256577563423;2.0
120111;Hippocampus;0.5386251785997778;13.19090595827292
120111;Thalamus;0.7022783761391881;18.35755975068582
120111;WhiteMatter;0.8464584301757648;2.23606797749979
120111-PP;Amygdala;0.5191452991452992;9.899494936611665
120111-PP;GreyMatter;0.7188256577563423;2.0
120111-PP;Hippocampus;0.5386251785997778;13.19090595827292
120111-PP;Thalamus;0.7022783761391881;18.35755975068582
120111-PP;WhiteMatter;0.8464584301757648;2.23606797749979
122317;Amygdala;0.6035444046196734;13.0
122317;GreyMatter;0.7349672792578159;2.0
122317;Hippocampus;0.5605713211802292;14.212670403551895
122317;Thalamus;0.7658725330348235;16.64331697709324
122317;WhiteMatter;0.8334022115104116;3.0
122317-PP;Amygdala;0.6035444046196734;13.0
122317-PP;GreyMatter;0.7349672792578159;2.0
122317-PP;Hippocampus;0.5605713211802292;14.212670403551895
122317-PP;Thalamus;0.7658725330348235;16.64331697709324
122317-PP;WhiteMatter;0.8334022115104116;3.0
122620;Amygdala;0.6030746434524912;12.96148139681572
122620;GreyMatter;0.7367788624681647;2.23606797749979
122620;Hippocampus;0.5716514447297429;15.556349186104045
122620;Thalamus;0.7606127108687459;15.748015748023622
122620;WhiteMatter;0.80590854743144;3.0
122620-PP;Amygdala;0.6030746434524912;12.96148139681572
122620-PP;GreyMatter;0.7367788624681647;2.23606797749979
122620-PP;Hippocampus;0.5716514447297429;15.556349186104045
122620-PP;Thalamus;0.7606127108687459;15.748015748023622
122620-PP;WhiteMatter;0.80590854743144;3.0
123117;Amygdala;0.5407741105084123;13.0
123117;GreyMatter;0.7231247461073493;2.8284271247461903
123117;Hippocampus;0.5558132884242636;13.45362404707371
123117;Thalamus;0.7115576635047429;20.074859899884732
123117;WhiteMatter;0.8428740059317172;3.1622776601683795
123117-PP;Amygdala;0.5407741105084123;13.0
123117-PP;GreyMatter;0.7231247461073493;2.8284271247461903
123117-PP;Hippocampus;0.5558132884242636;13.45362404707371
123117-PP;Thalamus;0.7115576635047429;20.074859899884732
123117-PP;WhiteMatter;0.8428740059317172;3.1622776601683795
123925;Amygdala;0.5507764705882353;11.704699910719626
123925;GreyMatter;0.7150498881440657;2.0
123925;Hippocampus;0.54296875;14.45683229480096
123925;Thalamus;0.7710797079793366;16.64331697709324
123925;WhiteMatter;0.8289774863675823;3.1622776601683795
123925-PP;Amygdala;0.5507764705882353;11.704699910719626
123925-PP;GreyMatter;0.7150498881440657;2.0
123925-PP;Hippocampus;0.54296875;14.45683229480096
123925-PP;Thalamus;0.7710797079793366;16.64331697709324
123925-PP;WhiteMatter;0.8289774863675823;3.1622776601683795
124422;Amygdala;0.6374611304188769;11.40175425099138
124422;GreyMatter;0.7070150067565966;2.0
124422;Hippocampus;0.5849062997729506;12.84523257866513
124422;Thalamus;0.793314423685506;16.34013463836819
124422;WhiteMatter;0.7787136922950558;3.1622776601683795
124422-PP;Amygdala;0.6374611304188769;11.40175425099138
124422-PP;GreyMatter;0.7070150067565966;2.0
124422-PP;Hippocampus;0.5849062997729506;12.84523257866513
124422-PP;Thalamus;0.793314423685506;16.34013463836819
124422-PP;WhiteMatter;0.7787136922950558;3.1622776601683795
