SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.6242003538859399;3.0
117122;GreyMatter;0.633662088378409;1.4142135623730951
117122;Hippocampus;0.7516158027650559;2.23606797749979
117122;Thalamus;0.7321333207677567;4.123105625617661
117122;WhiteMatter;0.8206634029664993;2.449489742783178
117122-PP;Amygdala;0.6242003538859399;3.0
117122-PP;GreyMatter;0.633662088378409;1.4142135623730951
117122-PP;Hippocampus;0.7516158027650559;2.23606797749979
117122-PP;Thalamus;0.7321333207677567;4.123105625617661
117122-PP;WhiteMatter;0.8206634029664993;2.449489742783178
118528;Amygdala;0.6687539135879774;3.605551275463989
118528;GreyMatter;0.6307523498998232;1.4142135623730951
118528;Hippocampus;0.7552231718898386;2.23606797749979
118528;Thalamus;0.8038100459124238;3.3166247903554
118528;WhiteMatter;0.8087863232115409;2.449489742783178
118528-PP;Amygdala;0.6687539135879774;3.605551275463989
118528-PP;GreyMatter;0.6307523498998232;1.4142135623730951
118528-PP;Hippocampus;0.7552231718898386;2.23606797749979
118528-PP;Thalamus;0.8038100459124238;3.3166247903554
118528-PP;WhiteMatter;0.8087863232115409;2.449489742783178
118730;Amygdala;0.7495035460992908;2.0
118730;GreyMatter;0.6275821004156705;1.4142135623730951
118730;Hippocampus;0.7459633546590069;2.0
118730;Thalamus;0.8244204493117036;3.3166247903554
118730;WhiteMatter;0.7842854863988219;2.8284271247461903
118730-PP;Amygdala;0.7495035460992908;2.0
118730-PP;GreyMatter;0.6275821004156705;1.4142135623730951
118730-PP;Hippocampus;0.7459633546590069;2.0
118730-PP;Thalamus;0.8244204493117036;3.3166247903554
118730-PP;WhiteMatter;0.7842854863988219;2.8284271247461903
118932;Amygdala;0.5871013465627215;3.1622776601683795
118932;GreyMatter;0.6281610472060447;1.4142135623730951
118932;Hippocampus;0.7323099617388098;3.7416573867739413
118932;Thalamus;0.7910435102202369;4.69041575982343
118932;WhiteMatter;0.781699151781609;2.8284271247461903
118932-PP;Amygdala;0.5871013465627215;3.1622776601683795
118932-PP;GreyMatter;0.6281610472060447;1.4142135623730951
118932-PP;Hippocampus;0.7323099617388098;3.7416573867739413
118932-PP;Thalamus;0.7910435102202369;4.69041575982343
118932-PP;WhiteMatter;0.781699151781609;2.8284271247461903
120111;Amygdala;0.6378022534498038;3.605551275463989
120111;GreyMatter;0.6263415166029305;1.4142135623730951
120111;Hippocampus;0.7367479882488185;2.23606797749979
120111;Thalamus;0.8048026578631957;3.0
120111;WhiteMatter;0.8148803162941107;2.8284271247461903
120111-PP;Amygdala;0.6378022534498038;3.605551275463989
120111-PP;GreyMatter;0.6263415166029305;1.4142135623730951
120111-PP;Hippocampus;0.7367479882488185;2.23606797749979
120111-PP;Thalamus;0.8048026578631957;3.0
120111-PP;WhiteMatter;0.8148803162941107;2.8284271247461903
122317;Amygdala;0.6671352263143098;2.23606797749979
122317;GreyMatter;0.6387727826508603;1.4142135623730951
122317;Hippocampus;0.7370724513581657;2.23606797749979
122317;Thalamus;0.8340137893740706;3.0
122317;WhiteMatter;0.8192177693473031;2.449489742783178
122317-PP;Amygdala;0.6671352263143098;2.23606797749979
122317-PP;GreyMatter;0.6387727826508603;1.4142135623730951
122317-PP;Hippocampus;0.7370724513581657;2.23606797749979
122317-PP;Thalamus;0.8340137893740706;3.0
122317-PP;WhiteMatter;0.8192177693473031;2.449489742783178
122620;Amygdala;0.6534622582657517;2.23606797749979
122620;GreyMatter;0.63047907641749;1.4142135623730951
122620;Hippocampus;0.7250409853293539;2.8284271247461903
122620;Thalamus;0.8416948142261077;2.8284271247461903
122620;WhiteMatter;0.7987327276760593;2.8284271247461903
122620-PP;Amygdala;0.6534622582657517;2.23606797749979
122620-PP;GreyMatter;0.63047907641749;1.4142135623730951
122620-PP;Hippocampus;0.7250409853293539;2.8284271247461903
122620-PP;Thalamus;0.8416948142261077;2.8284271247461903
122620-PP;WhiteMatter;0.7987327276760593;2.8284271247461903
123117;Amygdala;0.6629851688229725;2.8284271247461903
123117;GreyMatter;0.6385508344438957;1.4142135623730951
123117;Hippocampus;0.7649237660435869;2.0
123117;Thalamus;0.8425459337933173;3.0
123117;WhiteMatter;0.8159962564897671;2.449489742783178
123117-PP;Amygdala;0.6629851688229725;2.8284271247461903
123117-PP;GreyMatter;0.6385508344438957;1.4142135623730951
123117-PP;Hippocampus;0.7649237660435869;2.0
123117-PP;Thalamus;0.8425459337933173;3.0
123117-PP;WhiteMatter;0.8159962564897671;2.449489742783178
123925;Amygdala;0.7465004117162687;2.449489742783178
123925;GreyMatter;0.6385118454520986;1.4142135623730951
123925;Hippocampus;0.7856993693355051;2.0
123925;Thalamus;0.8447001612942054;2.23606797749979
123925;WhiteMatter;0.8203621848813825;2.23606797749979
123925-PP;Amygdala;0.7465004117162687;2.449489742783178
123925-PP;GreyMatter;0.6385118454520986;1.4142135623730951
123925-PP;Hippocampus;0.7856993693355051;2.0
123925-PP;Thalamus;0.8447001612942054;2.23606797749979
123925-PP;WhiteMatter;0.8203621848813825;2.23606797749979
124422;Amygdala;0.741485845667481;2.23606797749979
124422;GreyMatter;0.6129734010910315;1.7320508075688772
124422;Hippocampus;0.6186083289404323;4.242640687119285
124422;Thalamus;0.6707709271340623;5.744562646538029
124422;WhiteMatter;0.7739705692300707;3.0
124422-PP;Amygdala;0.741485845667481;2.23606797749979
124422-PP;GreyMatter;0.6129734010910315;1.7320508075688772
124422-PP;Hippocampus;0.6186083289404323;4.242640687119285
124422-PP;Thalamus;0.6707709271340623;5.744562646538029
