SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.41078689308777805;13.379088160259652
117122;GreyMatter;0.7099267096671412;2.0
117122;Hippocampus;0.4528459879838389;17.435595774162696
117122;Thalamus;0.5331136436450181;24.515301344262525
117122;WhiteMatter;0.816323320051107;3.0
117122-PP;Amygdala;0.41078689308777805;13.379088160259652
117122-PP;GreyMatter;0.7099267096671412;2.0
117122-PP;Hippocampus;0.4528459879838389;17.435595774162696
117122-PP;Thalamus;0.5331136436450181;24.515301344262525
117122-PP;WhiteMatter;0.816323320051107;3.0
118528;Amygdala;0.3982110704536214;16.522711641858304
118528;GreyMatter;0.7005797120920015;3.7416573867739413
118528;Hippocampus;0.46595143986448334;17.916472867168917
118528;Thalamus;0.7221309848225081;8.94427190999916
118528;WhiteMatter;0.801614546396256;2.8284271247461903
118528-PP;Amygdala;0.3982110704536214;16.522711641858304
118528-PP;GreyMatter;0.7005797120920015;3.7416573867739413
118528-PP;Hippocampus;0.46595143986448334;17.916472867168917
118528-PP;Thalamus;0.7221309848225081;8.94427190999916
118528-PP;WhiteMatter;0.801614546396256;2.8284271247461903
118730;Amygdala;0.4103886303609609;14.798648586948742
118730;GreyMatter;0.7175244822924306;2.23606797749979
118730;Hippocampus;0.42446215139442234;17.26267650163207
118730;Thalamus;0.699023797388952;15.362291495737216
118730;WhiteMatter;0.7901120645369966;2.8284271247461903
118730-PP;Amygdala;0.4103886303609609;14.798648586948742
118730-PP;GreyMatter;0.7175244822924306;2.23606797749979
118730-PP;Hippocampus;0.42446215139442234;17.26267650163207
118730-PP;Thalamus;0.699023797388952;15.362291495737216
118730-PP;WhiteMatter;0.7901120645369966;2.8284271247461903
118932;Amygdala;0.3002730811690198;14.317821063276353
118932;GreyMatter;0.7221678583943053;2.23606797749979
118932;Hippocampus;0.3898660961888915;17.46424919657298
118932;Thalamus;0.6067406088430266;12.409673645990857
118932;WhiteMatter;0.7994537242923422;2.8284271247461903
118932-PP;Amygdala;0.3002730811690198;14.317821063276353
118932-PP;GreyMatter;0.7221678583943053;2.23606797749979
118932-PP;Hippocampus;0.3898660961888915;17.46424919657298
118932-PP;Thalamus;0.6067406088430266;12.409673645990857
118932-PP;WhiteMatter;0.7994537242923422;2.8284271247461903
120111;Amygdala;0.34366102830346673;14.45683229480096
120111;GreyMatter;0.7030550303512787;3.605551275463989
120111;Hippocampus;0.43958233699984056;18.24828759089466
120111;Thalamus;0.744669975431596;17.916472867168917
120111;WhiteMatter;0.8314319485302778;2.449489742783178
120111-PP;Amygdala;0.34366102830346673;14.45683229480096
120111-PP;GreyMatter;0.7030550303512787;3.605551275463989
120111-PP;Hippocampus;0.43958233699984056;18.24828759089466
120111-PP;Thalamus;0.744669975431596;17.916472867168917
120111-PP;WhiteMatter;0.8314319485302778;2.449489742783178
122317;Amygdala;0.41639433551198257;14.317821063276353
122317;GreyMatter;0.7179233788251658;2.449489742783178
122317;Hippocampus;0.42533246619272946;18.0
122317;Thalamus;0.6889619656263573;19.026297590440446
122317;WhiteMatter;0.8281178840157487;3.0
122317-PP;Amygdala;0.41639433551198257;14.317821063276353
122317-PP;GreyMatter;0.7179233788251658;2.449489742783178
122317-PP;Hippocampus;0.42533246619272946;18.0
122317-PP;Thalamus;0.6889619656263573;19.026297590440446
122317-PP;WhiteMatter;0.8281178840157487;3.0
122620;Amygdala;0.4148827726809378;15.620499351813308
122620;GreyMatter;0.711466685006732;3.3166247903554
122620;Hippocampus;0.424059735602971;17.291616465790582
122620;Thalamus;0.6815092299374372;9.219544457292887
122620;WhiteMatter;0.7986865808253064;2.8284271247461903
122620-PP;Amygdala;0.4148827726809378;15.620499351813308
122620-PP;GreyMatter;0.711466685006732;3.3166247903554
122620-PP;Hippocampus;0.424059735602971;17.291616465790582
122620-PP;Thalamus;0.6815092299374372;9.219544457292887
122620-PP;WhiteMatter;0.7986865808253064;2.8284271247461903
123117;Amygdala;0.357487922705314;16.1245154965971
123117;GreyMatter;0.7068078040409725;4.123105625617661
123117;Hippocampus;0.41389762437009814;18.24828759089466
123117;Thalamus;0.6269994349952267;46.151923036857305
123117;WhiteMatter;0.8255457805719084;3.605551275463989
123117-PP;Amygdala;0.357487922705314;16.1245154965971
123117-PP;GreyMatter;0.7068078040409725;4.123105625617661
123117-PP;Hippocampus;0.41389762437009814;18.24828759089466
123117-PP;Thalamus;0.6269994349952267;46.151923036857305
123117-PP;WhiteMatter;0.8255457805719084;3.605551275463989
123925;Amygdala;0.4761175569821544;13.30413469565007
123925;GreyMatter;0.6972690192319874;3.1622776601683795
123925;Hippocampus;0.43381601204528136;18.49324200890693
123925;Thalamus;0.6858812001996635;38.92300091205713
123925;WhiteMatter;0.8236642437504693;3.4641016151377544
123925-PP;Amygdala;0.4761175569821544;13.30413469565007
123925-PP;GreyMatter;0.6972690192319874;3.1622776601683795
123925-PP;Hippocampus;0.43381601204528136;18.49324200890693
123925-PP;Thalamus;0.6858812001996635;38.92300091205713
123925-PP;WhiteMatter;0.8236642437504693;3.4641016151377544
124422;Amygdala;0.4249947985297177;16.822603841260722
124422;GreyMatter;0.6981842794901985;2.449489742783178
124422;Hippocampus;0.400087555219485;18.2208671582886
124422;Thalamus;0.518918180576424;11.74734012447073
124422;WhiteMatter;0.7718829900378799;3.4641016151377544
124422-PP;Amygdala;0.4249947985297177;16.822603841260722
124422-PP;GreyMatter;0.6981842794901985;2.449489742783178
124422-PP;Hippocampus;0.400087555219485;18.2208671582886
124422-PP;Thalamus;0.518918180576424;11.74734012447073
